,게시글번호,"구분(성별, 연령별)",확진자,확진률,치명률,사망자,사망률,등록일시분초,수정일시분초
576,12787,40-49,59819,15.74,0.08,45,1.52,2021-11-07 14:19:01.869,null
577,12786,50-59,58587,15.42,0.31,183,6.17,2021-11-07 14:19:01.869,null
578,12785,60-69,43584,11.47,0.98,429,14.46,2021-11-07 14:19:01.868,null
579,12784,70-79,18265,4.81,4.34,793,26.73,2021-11-07 14:19:01.868,null
580,12783,80 이상,10367,2.73,14.28,1480,49.88,2021-11-07 14:19:01.868,null
581,12782,여성,178078,46.87,0.82,1461,49.24,2021-11-07 14:19:01.867,null
582,12781,남성,201857,53.13,0.75,1506,50.76,2021-11-07 14:19:01.867,null
583,12769,0-9,22321,5.91,0,0,0.00,2021-11-06 14:10:09.351,null
584,12768,10-19,35892,9.5,0,0,0.00,2021-11-06 14:10:09.351,null
585,12767,20-29,70080,18.55,0.02,12,0.41,2021-11-06 14:10:09.351,null
586,12766,30-39,60042,15.9,0.04,25,0.85,2021-11-06 14:10:09.351,null
587,12765,40-49,59550,15.77,0.08,45,1.52,2021-11-06 14:10:09.351,null
588,12764,50-59,58325,15.44,0.31,183,6.19,2021-11-06 14:10:09.351,null
589,12763,60-69,43191,11.43,0.99,428,14.48,2021-11-06 14:10:09.351,null
590,12762,70-79,18090,4.79,4.38,792,26.79,2021-11-06 14:10:09.351,null
591,12761,80 이상,10221,2.71,14.39,1471,49.76,2021-11-06 14:10:09.35,null
592,12760,여성,177043,46.87,0.82,1456,49.26,2021-11-06 14:10:09.35,null
593,12759,남성,200669,53.13,0.75,1500,50.74,2021-11-06 14:10:09.35,null
594,12758,0-9,22111,6,0,0,0,2021-11-05 14:11:26.881,null
595,12757,10-19,35598,9,0,0,0,2021-11-05 14:11:26.881,null
596,12756,20-29,69837,19,0,12,0,2021-11-05 14:11:26.881,null
597,12755,30-39,59723,16,0,25,1,2021-11-05 14:11:26.881,null
598,12754,40-49,59263,16,0,45,2,2021-11-05 14:11:26.881,null
599,12753,50-59,58091,15,0,182,6,2021-11-05 14:11:26.881,null
600,12752,60-69,42834,11,1,426,15,2021-11-05 14:11:26.88,null
601,12751,70-79,17901,5,4,788,27,2021-11-05 14:11:26.88,null
602,12750,80 이상,10106,3,14,1458,50,2021-11-05 14:11:26.88,null
603,12749,여성,175993,47,1,1444,49,2021-11-05 14:11:26.88,null
604,12748,남성,199471,53,1,1492,51,2021-11-05 14:11:26.88,null
605,12725,0-9,21904,6,0,0,0,2021-11-04 14:10:25.133,null
606,12724,10-19,35263,9,0,0,0,2021-11-04 14:10:25.133,null
607,12723,20-29,69626,19,0,12,0,2021-11-04 14:10:25.133,null
608,12722,30-39,59395,16,0,25,1,2021-11-04 14:10:25.133,null
609,12721,40-49,58966,16,0,45,2,2021-11-04 14:10:25.133,null
610,12720,50-59,57827,16,0,181,6,2021-11-04 14:10:25.133,null
611,12719,60-69,42474,11,1,424,15,2021-11-04 14:10:25.132,null
612,12718,70-79,17698,5,4,781,27,2021-11-04 14:10:25.132,null
613,12717,80 이상,9967,3,15,1448,50,2021-11-04 14:10:25.132,null
614,12716,여성,174882,47,1,1439,49,2021-11-04 14:10:25.132,null
