,게시글번호,"구분(성별, 연령별)",확진자,확진률,치명률,사망자,사망률,등록일시분초,수정일시분초
2348,5462,50-59,25746,18.40,0.27,69,3.53,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2349,5461,40-49,21073,15.06,0.07,15,0.77,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2350,5460,30-39,19200,13.72,0.04,8,0.41,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2351,5459,20-29,20992,15.00,0.01,3,0.15,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2352,5458,10-19,9973,7.13,0.00,0,0.00,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2353,5457,0-9,6180,4.42,0.00,0,0.00,2021-05-30 09:00:00.000,2021-10-07 14:17:35.398
2354,5456,남성,69752,50.03,1.39,968,49.62,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2355,5455,여성,69675,49.97,1.41,983,50.38,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2356,5454,80 이상,5717,4.10,18.89,1080,55.36,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2357,5453,70-79,9761,7.00,5.62,549,28.14,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2358,5452,60-69,21168,15.18,1.07,227,11.64,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2359,5451,50-59,25657,18.40,0.27,69,3.54,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2360,5450,40-49,21002,15.06,0.07,15,0.77,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2361,5449,30-39,19126,13.72,0.04,8,0.41,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2362,5448,20-29,20902,14.99,0.01,3,0.15,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2363,5447,10-19,9930,7.12,0.00,0,0.00,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2364,5446,0-9,6164,4.42,0.00,0,0.00,2021-05-29 09:00:00.000,2021-10-07 14:17:35.398
2365,5445,남성,69481,50.02,1.39,966,49.64,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2366,5444,여성,69413,49.98,1.41,980,50.36,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2367,5443,80 이상,5714,4.11,18.87,1078,55.40,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2368,5442,70-79,9744,7.02,5.61,547,28.11,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2369,5441,60-69,21105,15.20,1.07,226,11.61,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2370,5440,50-59,25559,18.40,0.27,69,3.55,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2371,5439,40-49,20908,15.05,0.07,15,0.77,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2372,5438,30-39,19049,13.71,0.04,8,0.41,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2373,5437,20-29,20799,14.97,0.01,3,0.15,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2374,5436,10-19,9883,7.12,0.00,0,0.00,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2375,5435,0-9,6133,4.42,0.00,0,0.00,2021-05-28 09:00:00.000,2021-10-07 14:17:35.398
2376,5434,남성,69162,50.01,1.40,965,49.67,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2377,5433,여성,69145,49.99,1.41,978,50.33,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2378,5432,80 이상,5699,4.12,18.88,1076,55.38,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2379,5431,70-79,9720,7.03,5.62,546,28.10,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2380,5430,60-69,21028,15.20,1.07,226,11.63,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2381,5429,50-59,25472,18.42,0.27,69,3.55,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2382,5428,40-49,20793,15.03,0.07,15,0.77,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2383,5427,30-39,18959,13.71,0.04,8,0.41,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2384,5426,20-29,20682,14.95,0.01,3,0.15,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2385,5425,10-19,9833,7.11,0.00,0,0.00,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2386,5424,0-9,6121,4.43,0.00,0,0.00,2021-05-27 09:00:00.000,2021-10-07 14:17:35.398
2387,5423,남성,68836,50.00,1.40,965,49.74,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2388,5422,여성,68842,50.00,1.42,975,50.26,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2389,5421,80 이상,5683,4.13,18.90,1074,55.36,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2390,5420,70-79,9688,7.04,5.63,545,28.09,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2391,5419,60-69,20945,15.21,1.08,226,11.65,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2392,5418,50-59,25350,18.41,0.27,69,3.56,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2393,5417,40-49,20693,15.03,0.07,15,0.77,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2394,5416,30-39,18866,13.70,0.04,8,0.41,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2395,5415,20-29,20551,14.93,0.01,3,0.15,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2396,5414,10-19,9807,7.12,0.00,0,0.00,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2397,5413,0-9,6095,4.43,0.00,0,0.00,2021-05-26 09:00:00.000,2021-10-07 14:17:35.398
2398,5412,남성,68479,49.99,1.41,965,49.79,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2399,5411,여성,68494,50.01,1.42,973,50.21,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2400,5410,80 이상,5669,4.14,18.95,1074,55.42,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2401,5409,70-79,9659,7.05,5.64,545,28.12,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2402,5408,60-69,20854,15.22,1.08,225,11.61,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2403,5407,50-59,25222,18.41,0.27,68,3.51,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2404,5406,40-49,20566,15.01,0.07,15,0.77,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2405,5405,30-39,18747,13.69,0.04,8,0.41,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2406,5404,20-29,20447,14.93,0.01,3,0.15,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2407,5403,10-19,9758,7.12,0.00,0,0.00,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2408,5402,0-9,6051,4.42,0.00,0,0.00,2021-05-25 09:00:00.000,2021-10-07 14:17:35.398
2409,5401,남성,68190,49.97,1.42,965,49.90,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2410,5400,여성,68267,50.03,1.42,969,50.10,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2411,5399,80 이상,5665,4.15,18.89,1070,55.33,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2412,5398,70-79,9635,7.06,5.66,545,28.18,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2413,5397,60-69,20780,15.23,1.08,225,11.63,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2414,5396,50-59,25129,18.42,0.27,68,3.52,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2415,5395,40-49,20474,15.00,0.07,15,0.78,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2416,5394,30-39,18653,13.67,0.04,8,0.41,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2417,5393,20-29,20364,14.92,0.01,3,0.16,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2418,5392,10-19,9724,7.13,0.00,0,0.00,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2419,5391,0-9,6033,4.42,0.00,0,0.00,2021-05-24 09:00:00.000,2021-10-07 14:17:35.398
2420,5390,남성,67904,49.96,1.42,963,49.87,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2421,5389,여성,68023,50.04,1.42,968,50.13,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2422,5388,80 이상,5661,4.16,18.87,1068,55.31,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2423,5387,70-79,9610,7.07,5.67,545,28.22,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2424,5386,60-69,20705,15.23,1.09,225,11.65,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2425,5385,50-59,25034,18.42,0.27,67,3.47,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2426,5384,40-49,20382,14.99,0.07,15,0.78,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2427,5383,30-39,18560,13.65,0.04,8,0.41,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2428,5382,20-29,20291,14.93,0.01,3,0.16,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2429,5381,10-19,9685,7.13,0.00,0,0.00,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2430,5380,0-9,5999,4.41,0.00,0,0.00,2021-05-23 09:00:00.000,2021-10-07 14:17:35.398
2431,5379,남성,67597,49.95,1.42,960,49.84,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2432,5378,여성,67745,50.05,1.43,966,50.16,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2433,5377,80 이상,5648,4.17,18.82,1063,55.19,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2434,5376,70-79,9581,7.08,5.69,545,28.30,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2435,5375,60-69,20623,15.24,1.09,225,11.68,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2436,5374,50-59,24933,18.42,0.27,67,3.48,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2437,5373,40-49,20284,14.99,0.07,15,0.78,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2438,5372,30-39,18463,13.64,0.04,8,0.42,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2439,5371,20-29,20193,14.92,0.01,3,0.16,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2440,5370,10-19,9642,7.12,0.00,0,0.00,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2441,5369,0-9,5975,4.41,0.00,0,0.00,2021-05-22 09:00:00.000,2021-10-07 14:17:35.398
2442,5368,남성,67251,49.94,1.43,959,49.90,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2443,5367,여성,67425,50.06,1.43,963,50.10,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2444,5366,80 이상,5636,4.18,18.81,1060,55.15,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2445,5365,70-79,9544,7.09,5.70,544,28.30,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2446,5364,60-69,20538,15.25,1.10,225,11.71,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2447,5363,50-59,24832,18.44,0.27,67,3.49,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2448,5362,40-49,20171,14.98,0.07,15,0.78,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2449,5361,30-39,18351,13.63,0.04,8,0.42,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2450,5360,20-29,20062,14.90,0.01,3,0.16,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2451,5359,10-19,9594,7.12,0.00,0,0.00,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2452,5358,0-9,5948,4.42,0.00,0,0.00,2021-05-21 09:00:00.000,2021-10-07 14:17:35.398
2453,5357,남성,66941,49.91,1.43,954,49.79,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2454,5356,여성,67174,50.09,1.43,962,50.21,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2455,5355,80 이상,5631,4.20,18.77,1057,55.17,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2456,5354,70-79,9519,7.10,5.69,542,28.29,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2457,5353,60-69,20457,15.25,1.09,224,11.69,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2458,5352,50-59,24744,18.45,0.27,67,3.50,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2459,5351,40-49,20071,14.97,0.07,15,0.78,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2460,5350,30-39,18264,13.62,0.04,8,0.42,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2461,5349,20-29,19980,14.90,0.02,3,0.16,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2462,5348,10-19,9547,7.12,0.00,0,0.00,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2463,5347,0-9,5902,4.40,0.00,0,0.00,2021-05-20 09:00:00.000,2021-10-07 14:17:35.398
2464,5346,남성,66633,49.92,1.43,952,49.79,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2465,5345,여성,66836,50.08,1.44,960,50.21,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2466,5344,80 이상,5620,4.21,18.74,1053,55.07,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2467,5343,70-79,9486,7.11,5.71,542,28.35,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2468,5342,60-69,20382,15.27,1.10,224,11.72,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2469,5341,50-59,24648,18.47,0.27,67,3.50,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2470,5340,40-49,19947,14.95,0.08,15,0.78,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2471,5339,30-39,18161,13.61,0.04,8,0.42,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2472,5338,20-29,19878,14.89,0.02,3,0.16,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2473,5337,10-19,9476,7.10,0.00,0,0.00,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2474,5336,0-9,5871,4.40,0.00,0,0.00,2021-05-19 09:00:00.000,2021-10-07 14:17:35.398
2475,5335,남성,66277,49.90,1.43,946,49.68,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2476,5334,여성,66538,50.10,1.44,958,50.32,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2477,5333,80 이상,5609,4.22,18.70,1049,55.09,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2478,5332,70-79,9453,7.12,5.71,540,28.36,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2479,5331,60-69,20287,15.27,1.10,223,11.71,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2480,5330,50-59,24526,18.47,0.27,66,3.47,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2481,5329,40-49,19842,14.94,0.08,15,0.79,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2482,5328,30-39,18061,13.60,0.04,8,0.42,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2483,5327,20-29,19776,14.89,0.02,3,0.16,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2484,5326,10-19,9420,7.09,0.00,0,0.00,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2485,5325,0-9,5841,4.40,0.00,0,0.00,2021-05-18 09:00:00.000,2021-10-07 14:17:35.398
2486,5324,남성,65994,49.89,1.43,945,49.66,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2487,5323,여성,66293,50.11,1.45,958,50.34,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2488,5322,80 이상,5602,4.23,18.71,1048,55.07,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2489,5321,70-79,9428,7.13,5.73,540,28.38,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2490,5320,60-69,20212,15.28,1.10,223,11.72,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2491,5319,50-59,24440,18.47,0.27,66,3.47,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2492,5318,40-49,19761,14.94,0.08,15,0.79,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2493,5317,30-39,17978,13.59,0.04,8,0.42,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2494,5316,20-29,19686,14.88,0.02,3,0.16,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2495,5315,10-19,9370,7.08,0.00,0,0.00,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2496,5314,0-9,5810,4.39,0.00,0,0.00,2021-05-17 09:00:00.000,2021-10-07 14:17:35.398
2497,5313,남성,65658,49.87,1.44,944,49.68,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2498,5312,여성,66010,50.13,1.45,956,50.32,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2499,5311,80 이상,5590,4.25,18.69,1045,55.00,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2500,5310,70-79,9391,7.13,5.75,540,28.42,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2501,5309,60-69,20132,15.29,1.11,223,11.74,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2502,5308,50-59,24334,18.48,0.27,66,3.47,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2503,5307,40-49,19664,14.93,0.08,15,0.79,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2504,5306,30-39,17888,13.59,0.04,8,0.42,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2505,5305,20-29,19571,14.86,0.02,3,0.16,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2506,5304,10-19,9317,7.08,0.00,0,0.00,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2507,5303,0-9,5781,4.39,0.00,0,0.00,2021-05-16 09:00:00.000,2021-10-07 14:17:35.398
2508,5302,남성,65346,49.86,1.44,944,49.79,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2509,5301,여성,65712,50.14,1.45,952,50.21,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2510,5300,80 이상,5575,4.25,18.73,1044,55.06,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2511,5299,70-79,9349,7.13,5.75,538,28.38,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2512,5298,60-69,20049,15.30,1.11,223,11.76,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2513,5297,50-59,24219,18.48,0.27,65,3.43,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2514,5296,40-49,19570,14.93,0.08,15,0.79,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2515,5295,30-39,17806,13.59,0.04,8,0.42,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2516,5294,20-29,19481,14.86,0.02,3,0.16,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2517,5293,10-19,9274,7.08,0.00,0,0.00,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2518,5292,0-9,5735,4.38,0.00,0,0.00,2021-05-15 09:00:00.000,2021-10-07 14:17:35.398
2519,5291,남성,64986,49.84,1.45,941,49.71,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2520,5290,여성,65391,50.16,1.46,952,50.29,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2521,5289,80 이상,5563,4.27,18.75,1043,55.10,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2522,5288,70-79,9307,7.14,5.76,536,28.31,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2523,5287,60-69,19965,15.31,1.12,223,11.78,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2524,5286,50-59,24088,18.48,0.27,65,3.43,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2525,5285,40-49,19459,14.93,0.08,15,0.79,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2526,5284,30-39,17697,13.57,0.05,8,0.42,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2527,5283,20-29,19385,14.87,0.02,3,0.16,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2528,5282,10-19,9213,7.07,0.00,0,0.00,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2529,5281,0-9,5700,4.37,0.00,0,0.00,2021-05-14 09:00:00.000,2021-10-07 14:17:35.398
2530,5280,남성,64619,49.85,1.45,939,49.66,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2531,5279,여성,65011,50.15,1.46,952,50.34,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2532,5278,80 이상,5532,4.27,18.84,1042,55.10,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2533,5277,70-79,9266,7.15,5.77,535,28.29,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2534,5276,60-69,19847,15.31,1.12,223,11.79,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2535,5275,50-59,23969,18.49,0.27,65,3.44,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2536,5274,40-49,19326,14.91,0.08,15,0.79,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2537,5273,30-39,17585,13.57,0.05,8,0.42,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2538,5272,20-29,19284,14.88,0.02,3,0.16,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2539,5271,10-19,9153,7.06,0.00,0,0.00,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2540,5270,0-9,5668,4.37,0.00,0,0.00,2021-05-13 09:00:00.000,2021-10-07 14:17:35.398
2541,5269,남성,64246,49.84,1.46,938,49.79,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2542,5268,여성,64669,50.16,1.46,946,50.21,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2543,5267,80 이상,5516,4.28,18.84,1039,55.15,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2544,5266,70-79,9228,7.16,5.78,533,28.29,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2545,5265,60-69,19752,15.32,1.12,222,11.78,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2546,5264,50-59,23836,18.49,0.27,65,3.45,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2547,5263,40-49,19199,14.89,0.08,15,0.80,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2548,5262,30-39,17472,13.55,0.04,7,0.37,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2549,5261,20-29,19190,14.89,0.02,3,0.16,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2550,5260,10-19,9089,7.05,0.00,0,0.00,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2551,5259,0-9,5633,4.37,0.00,0,0.00,2021-05-12 09:00:00.000,2021-10-07 14:17:35.398
2552,5258,남성,63921,49.83,1.46,935,49.76,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2553,5257,여성,64360,50.17,1.47,944,50.24,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2554,5256,80 이상,5501,4.29,18.83,1036,55.14,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2555,5255,70-79,9184,7.16,5.79,532,28.31,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2556,5254,60-69,19665,15.33,1.12,221,11.76,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2557,5253,50-59,23716,18.49,0.27,65,3.46,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2558,5252,40-49,19086,14.88,0.08,15,0.80,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2559,5251,30-39,17384,13.55,0.04,7,0.37,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2560,5250,20-29,19100,14.89,0.02,3,0.16,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2561,5249,10-19,9050,7.05,0.00,0,0.00,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2562,5248,0-9,5595,4.36,0.00,0,0.00,2021-05-11 09:00:00.000,2021-10-07 14:17:35.398
2563,5247,남성,63668,49.83,1.47,933,49.76,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2564,5246,여성,64103,50.17,1.47,942,50.24,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2565,5245,80 이상,5492,4.30,18.85,1035,55.20,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2566,5244,70-79,9156,7.17,5.80,531,28.32,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2567,5243,60-69,19602,15.34,1.12,220,11.73,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2568,5242,50-59,23637,18.50,0.27,65,3.47,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2569,5241,40-49,18985,14.86,0.07,14,0.75,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2570,5240,30-39,17304,13.54,0.04,7,0.37,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2571,5239,20-29,19009,14.88,0.02,3,0.16,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2572,5238,10-19,9009,7.05,0.00,0,0.00,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2573,5237,0-9,5577,4.36,0.00,0,0.00,2021-05-10 09:00:00.000,2021-10-07 14:17:35.398
2574,5236,남성,63432,49.83,1.47,933,49.79,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2575,5235,여성,63876,50.17,1.47,941,50.21,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2576,5234,80 이상,5484,4.31,18.85,1034,55.18,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2577,5233,70-79,9121,7.16,5.82,531,28.34,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2578,5232,60-69,19527,15.34,1.13,220,11.74,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2579,5231,50-59,23568,18.51,0.28,65,3.47,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2580,5230,40-49,18913,14.86,0.07,14,0.75,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2581,5229,30-39,17240,13.54,0.04,7,0.37,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2582,5228,20-29,18938,14.88,0.02,3,0.16,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2583,5227,10-19,8956,7.03,0.00,0,0.00,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2584,5226,0-9,5561,4.37,0.00,0,0.00,2021-05-09 09:00:00.000,2021-10-07 14:17:35.398
2585,5225,남성,63139,49.82,1.47,928,49.76,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2586,5224,여성,63605,50.18,1.47,937,50.24,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2587,5223,80 이상,5463,4.31,18.85,1030,55.23,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2588,5222,70-79,9083,7.17,5.84,530,28.42,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2589,5221,60-69,19451,15.35,1.13,219,11.74,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2590,5220,50-59,23460,18.51,0.26,62,3.32,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
2591,5219,40-49,18841,14.87,0.07,14,0.75,2021-05-08 09:00:00.000,2021-10-07 14:17:35.398
