,게시글번호,기준일시,시도명(한글),전일대비 증감 수,격리 해제 수,지역발생 수,해외유입 수,10만명당 발생률,사망자 수,게시글번호(국내 시도별 발생현황 고유값),등록일시분초,수정일시분초
0,6729,2021년 12월 30일 00시,검역,34,6459,0,34,-,16,14202,2021-12-30 09:09:47.379,null
1,4622,2021년 12월 30일 00시,제주,21,4385,20,1,685,13,14201,2021-12-30 09:09:47.378,null
2,20447,2021년 12월 30일 00시,경남,197,17968,197,0,612,87,14200,2021-12-30 09:09:47.378,null
3,15210,2021년 12월 30일 00시,경북,82,13165,82,0,576,152,14199,2021-12-30 09:09:47.378,null
4,6018,2021년 12월 30일 00시,전남,48,5294,47,1,325,37,14198,2021-12-30 09:09:47.378,null
5,9469,2021년 12월 30일 00시,전북,230,8019,228,2,525,99,14197,2021-12-30 09:09:47.378,null
6,17958,2021년 12월 30일 00시,충남,123,15428,122,1,847,141,14196,2021-12-30 09:09:47.377,null
7,11424,2021년 12월 30일 00시,충북,80,10349,80,0,714,108,14195,2021-12-30 09:09:47.377,null
8,12333,2021년 12월 30일 00시,강원,91,10958,87,4,799,100,14194,2021-12-30 09:09:47.377,null
9,184887,2021년 12월 30일 00시,경기,1465,146588,1448,17,1377,1792,14193,2021-12-30 09:09:47.377,null
10,2125,2021년 12월 30일 00시,세종,21,1884,21,0,597,4,14192,2021-12-30 09:09:47.377,null
11,6833,2021년 12월 30일 00시,울산,40,6261,37,3,601,62,14191,2021-12-30 09:09:47.376,null
12,12179,2021년 12월 30일 00시,대전,90,10290,88,2,832,165,14190,2021-12-30 09:09:47.376,null
13,7941,2021년 12월 30일 00시,광주,102,7186,101,1,548,41,14189,2021-12-30 09:09:47.376,null
14,36418,2021년 12월 30일 00시,인천,318,30241,316,2,1238,260,14188,2021-12-30 09:09:47.376,null
15,22992,2021년 12월 30일 00시,대구,117,21124,115,2,951,361,14187,2021-12-30 09:09:47.376,null
16,24815,2021년 12월 30일 00시,부산,256,20460,252,4,732,266,14186,2021-12-30 09:09:47.375,null
17,223567,2021년 12월 30일 00시,서울,1722,173898,1689,33,2312,1751,14185,2021-12-30 09:09:47.375,null
18,625967,2021년 12월 30일 00시,합계,5037,509957,4930,107,1208,5455,14184,2021-12-30 09:09:47.375,null
19,6695,2021년 12월 29일 00시,검역,26,6459,0,26,-,16,14183,2021-12-29 08:59:08.535,null
20,4601,2021년 12월 29일 00시,제주,33,4355,32,1,682,13,14182,2021-12-29 08:59:08.535,null
21,20250,2021년 12월 29일 00시,경남,265,17809,262,3,606,85,14181,2021-12-29 08:59:08.535,null
22,15128,2021년 12월 29일 00시,경북,104,13115,103,1,573,150,14180,2021-12-29 08:59:08.535,null
23,5970,2021년 12월 29일 00시,전남,39,5229,39,0,322,37,14179,2021-12-29 08:59:08.535,null
24,9239,2021년 12월 29일 00시,전북,109,7940,109,0,512,99,14178,2021-12-29 08:59:08.534,null
25,17835,2021년 12월 29일 00시,충남,119,15268,117,2,841,135,14177,2021-12-29 08:59:08.534,null
26,11344,2021년 12월 29일 00시,충북,101,10240,98,3,709,108,14176,2021-12-29 08:59:08.534,null
27,12242,2021년 12월 29일 00시,강원,87,10839,87,0,793,99,14175,2021-12-29 08:59:08.534,null
28,183425,2021년 12월 29일 00시,경기,1633,145741,1608,25,1366,1766,14174,2021-12-29 08:59:08.534,null
29,2104,2021년 12월 29일 00시,세종,21,1866,19,2,591,4,14173,2021-12-29 08:59:08.533,null
30,6793,2021년 12월 29일 00시,울산,49,6261,47,2,598,61,14172,2021-12-29 08:59:08.533,null
31,12090,2021년 12월 29일 00시,대전,79,10020,77,2,826,164,14171,2021-12-29 08:59:08.533,null
32,7839,2021년 12월 29일 00시,광주,80,7133,80,0,541,39,14170,2021-12-29 08:59:08.533,null
33,36101,2021년 12월 29일 00시,인천,314,30095,309,5,1227,257,14169,2021-12-29 08:59:08.532,null
34,22875,2021년 12월 29일 00시,대구,139,21021,136,3,946,359,14168,2021-12-29 08:59:08.532,null
35,24560,2021년 12월 29일 00시,부산,296,20199,291,5,724,261,14167,2021-12-29 08:59:08.532,null
36,221847,2021년 12월 29일 00시,서울,1915,171880,1869,46,2295,1729,14166,2021-12-29 08:59:08.532,null
37,620938,2021년 12월 29일 00시,합계,5409,505470,5283,126,1198,5382,14165,2021-12-29 08:59:08.531,null
38,6669,2021년 12월 28일 00시,검역,10,6452,0,10,-,16,14164,2021-12-28 09:02:52.058,null
39,4568,2021년 12월 28일 00시,제주,6,4328,6,0,677,13,14163,2021-12-28 09:02:52.057,null
40,19985,2021년 12월 28일 00시,경남,176,17600,173,3,598,85,14162,2021-12-28 09:02:52.057,null
41,15024,2021년 12월 28일 00시,경북,86,12960,84,2,569,149,14161,2021-12-28 09:02:52.056,null
42,5931,2021년 12월 28일 00시,전남,38,5181,36,2,320,37,14160,2021-12-28 09:02:52.056,null
43,9131,2021년 12월 28일 00시,전북,90,7851,90,0,506,99,14159,2021-12-28 09:02:52.055,null
44,17716,2021년 12월 28일 00시,충남,128,15074,126,2,835,133,14158,2021-12-28 09:02:52.055,null
45,11243,2021년 12월 28일 00시,충북,65,10150,64,1,702,108,14157,2021-12-28 09:02:52.054,null
46,12155,2021년 12월 28일 00시,강원,79,10713,79,0,788,99,14156,2021-12-28 09:02:52.054,null
47,181792,2021년 12월 28일 00시,경기,1063,145319,1045,18,1354,1760,14155,2021-12-28 09:02:52.053,null
48,2083,2021년 12월 28일 00시,세종,18,1846,18,0,585,4,14154,2021-12-28 09:02:52.053,null
49,6744,2021년 12월 28일 00시,울산,39,6214,39,0,594,61,14153,2021-12-28 09:02:52.052,null
50,12011,2021년 12월 28일 00시,대전,80,9535,79,1,820,161,14152,2021-12-28 09:02:52.052,null
51,7759,2021년 12월 28일 00시,광주,70,7074,70,0,535,39,14151,2021-12-28 09:02:52.051,null
52,35787,2021년 12월 28일 00시,인천,241,29904,233,8,1216,250,14150,2021-12-28 09:02:52.051,null
53,22736,2021년 12월 28일 00시,대구,149,20850,148,1,940,356,14149,2021-12-28 09:02:52.05,null
54,24264,2021년 12월 28일 00시,부산,237,19481,233,4,715,255,14148,2021-12-28 09:02:52.05,null
55,219934,2021년 12월 28일 00시,서울,1290,169741,1254,36,2275,1721,14147,2021-12-28 09:02:52.049,null
56,615532,2021년 12월 28일 00시,합계,3865,500273,3777,88,1188,5346,14146,2021-12-28 09:02:52.049,null
57,6659,2021년 12월 27일 00시,검역,14,6451,0,14,-,16,14145,2021-12-27 09:00:33.916,null
58,4562,2021년 12월 27일 00시,제주,16,4301,16,0,676,13,14144,2021-12-27 09:00:33.916,null
59,19809,2021년 12월 27일 00시,경남,200,17293,197,3,593,85,14143,2021-12-27 09:00:33.915,null
60,14938,2021년 12월 27일 00시,경북,71,12845,70,1,566,149,14142,2021-12-27 09:00:33.915,null
61,5893,2021년 12월 27일 00시,전남,30,5144,30,0,318,37,14141,2021-12-27 09:00:33.915,null
62,9041,2021년 12월 27일 00시,전북,89,7715,88,1,501,98,14140,2021-12-27 09:00:33.915,null
63,17588,2021년 12월 27일 00시,충남,148,14868,148,0,829,131,14139,2021-12-27 09:00:33.915,null
64,11178,2021년 12월 27일 00시,충북,63,10035,63,0,698,107,14138,2021-12-27 09:00:33.914,null
65,12076,2021년 12월 27일 00시,강원,120,10564,119,1,783,99,14137,2021-12-27 09:00:33.914,null
66,180729,2021년 12월 27일 00시,경기,1173,144838,1160,13,1346,1744,14136,2021-12-27 09:00:33.914,null
67,2065,2021년 12월 27일 00시,세종,10,1802,10,0,580,4,14135,2021-12-27 09:00:33.914,null
68,6705,2021년 12월 27일 00시,울산,42,6170,40,2,590,61,14134,2021-12-27 09:00:33.913,null
69,11931,2021년 12월 27일 00시,대전,40,9488,38,2,815,161,14133,2021-12-27 09:00:33.913,null
70,7689,2021년 12월 27일 00시,광주,60,7026,59,1,530,38,14132,2021-12-27 09:00:33.913,null
71,35546,2021년 12월 27일 00시,인천,234,29680,227,7,1208,249,14131,2021-12-27 09:00:33.913,null
72,22588,2021년 12월 27일 00시,대구,131,20663,127,4,934,356,14130,2021-12-27 09:00:33.913,null
73,24027,2021년 12월 27일 00시,부산,270,19481,267,3,708,254,14129,2021-12-27 09:00:33.912,null
74,218646,2021년 12월 27일 00시,서울,1496,168574,1466,30,2261,1698,14128,2021-12-27 09:00:33.912,null
75,611670,2021년 12월 27일 00시,합계,4207,496938,4125,82,1180,5300,14127,2021-12-27 09:00:33.912,null
76,6645,2021년 12월 26일 00시,검역,5,6444,0,5,-,16,14126,2021-12-26 08:02:50.677,null
77,4546,2021년 12월 26일 00시,제주,28,4265,28,0,674,13,14125,2021-12-26 08:02:50.677,null
78,19609,2021년 12월 26일 00시,경남,201,17148,200,1,587,85,14124,2021-12-26 08:02:50.677,null
79,14867,2021년 12월 26일 00시,경북,130,12718,125,5,563,148,14123,2021-12-26 08:02:50.677,null
80,5863,2021년 12월 26일 00시,전남,48,5098,47,1,317,34,14122,2021-12-26 08:02:50.676,null
81,8952,2021년 12월 26일 00시,전북,98,7577,97,1,496,98,14121,2021-12-26 08:02:50.676,null
82,17440,2021년 12월 26일 00시,충남,117,14818,116,1,822,128,14120,2021-12-26 08:02:50.676,null
83,11115,2021년 12월 26일 00시,충북,80,9935,79,1,694,107,14119,2021-12-26 08:02:50.676,null
84,11956,2021년 12월 26일 00시,강원,107,10414,107,0,775,98,14118,2021-12-26 08:02:50.676,null
85,179556,2021년 12월 26일 00시,경기,1653,144646,1634,19,1337,1733,14117,2021-12-26 08:02:50.675,null
86,2055,2021년 12월 26일 00시,세종,12,1782,10,2,578,3,14116,2021-12-26 08:02:50.675,null
87,6663,2021년 12월 26일 00시,울산,53,6113,52,1,587,61,14115,2021-12-26 08:02:50.675,null
88,11891,2021년 12월 26일 00시,대전,84,9483,77,7,812,156,14114,2021-12-26 08:02:50.675,null
89,7629,2021년 12월 26일 00시,광주,67,6984,65,2,526,38,14113,2021-12-26 08:02:50.675,null
90,35312,2021년 12월 26일 00시,인천,328,29435,325,3,1200,241,14112,2021-12-26 08:02:50.674,null
91,22457,2021년 12월 26일 00시,대구,120,20488,120,0,929,356,14111,2021-12-26 08:02:50.674,null
92,23757,2021년 12월 26일 00시,부산,371,19208,368,3,700,249,14110,2021-12-26 08:02:50.674,null
93,217150,2021년 12월 26일 00시,서울,1917,167649,1889,28,2246,1681,14109,2021-12-26 08:02:50.674,null
94,607463,2021년 12월 26일 00시,합계,5419,494205,5339,80,1172,5245,14108,2021-12-26 08:02:50.673,null
95,6640,2021년 12월 25일 00시,검역,13,6444,0,13,-,16,14107,2021-12-25 07:37:53.455,null
96,4518,2021년 12월 25일 00시,제주,15,4238,15,0,670,13,14106,2021-12-25 07:37:53.455,null
97,19408,2021년 12월 25일 00시,경남,213,17079,212,1,581,82,14105,2021-12-25 07:37:53.454,null
98,14737,2021년 12월 25일 00시,경북,128,12588,127,1,558,145,14104,2021-12-25 07:37:53.454,null
99,5815,2021년 12월 25일 00시,전남,53,5007,53,0,314,34,14103,2021-12-25 07:37:53.454,null
100,8854,2021년 12월 25일 00시,전북,116,7477,114,2,491,97,14102,2021-12-25 07:37:53.454,null
101,17323,2021년 12월 25일 00시,충남,161,14676,161,0,817,125,14101,2021-12-25 07:37:53.454,null
102,11036,2021년 12월 25일 00시,충북,83,9843,83,0,689,106,14100,2021-12-25 07:37:53.453,null
103,11849,2021년 12월 25일 00시,강원,147,10289,147,0,768,97,14099,2021-12-25 07:37:53.453,null
104,177903,2021년 12월 25일 00시,경기,1680,144338,1663,17,1325,1702,14098,2021-12-25 07:37:53.453,null
105,2043,2021년 12월 25일 00시,세종,21,1760,21,0,574,3,14097,2021-12-25 07:37:53.453,null
106,6610,2021년 12월 25일 00시,울산,63,6040,62,1,582,61,14096,2021-12-25 07:37:53.452,null
107,11807,2021년 12월 25일 00시,대전,104,9299,102,2,807,154,14095,2021-12-25 07:37:53.452,null
108,7562,2021년 12월 25일 00시,광주,78,6941,76,2,521,37,14094,2021-12-25 07:37:53.452,null
109,34984,2021년 12월 25일 00시,인천,400,29176,398,2,1189,238,14093,2021-12-25 07:37:53.452,null
110,22337,2021년 12월 25일 00시,대구,103,20378,102,1,924,356,14092,2021-12-25 07:37:53.452,null
111,23386,2021년 12월 25일 00시,부산,341,18849,340,1,689,247,14091,2021-12-25 07:37:53.451,null
112,215233,2021년 12월 25일 00시,서울,2123,165521,2091,32,2226,1663,14090,2021-12-25 07:37:53.451,null
113,602045,2021년 12월 25일 00시,합계,5842,489943,5767,75,1162,5176,14089,2021-12-25 07:37:53.451,null
114,6627,2021년 12월 24일 00시,검역,8,6442,0,8,-,16,14088,2021-12-24 09:04:23.503,null
115,4503,2021년 12월 24일 00시,제주,25,4200,24,1,667,13,14087,2021-12-24 09:04:23.503,null
116,19195,2021년 12월 24일 00시,경남,230,16791,228,2,575,81,14086,2021-12-24 09:04:23.503,null
117,14609,2021년 12월 24일 00시,경북,144,12379,144,0,553,143,14085,2021-12-24 09:04:23.503,null
118,5762,2021년 12월 24일 00시,전남,69,4967,68,1,311,34,14084,2021-12-24 09:04:23.502,null
119,8738,2021년 12월 24일 00시,전북,118,7361,117,1,484,97,14083,2021-12-24 09:04:23.502,null
120,17162,2021년 12월 24일 00시,충남,180,14428,176,4,809,123,14082,2021-12-24 09:04:23.502,null
121,10953,2021년 12월 24일 00시,충북,91,9738,90,1,684,105,14081,2021-12-24 09:04:23.502,null
122,11702,2021년 12월 24일 00시,강원,130,10143,129,1,758,97,14080,2021-12-24 09:04:23.502,null
123,176223,2021년 12월 24일 00시,경기,1668,144074,1647,21,1312,1666,14079,2021-12-24 09:04:23.501,null
124,2022,2021년 12월 24일 00시,세종,36,1729,36,0,568,3,14078,2021-12-24 09:04:23.501,null
125,6547,2021년 12월 24일 00시,울산,43,5992,43,0,576,61,14077,2021-12-24 09:04:23.501,null
126,11703,2021년 12월 24일 00시,대전,81,9180,81,0,799,148,14076,2021-12-24 09:04:23.5,null
127,7484,2021년 12월 24일 00시,광주,54,6883,54,0,516,37,14075,2021-12-24 09:04:23.5,null
128,34585,2021년 12월 24일 00시,인천,438,28945,433,5,1175,234,14074,2021-12-24 09:04:23.5,null
129,22234,2021년 12월 24일 00시,대구,151,20197,150,1,919,354,14073,2021-12-24 09:04:23.5,null
130,23046,2021년 12월 24일 00시,부산,421,18184,419,2,679,244,14072,2021-12-24 09:04:23.5,null
131,213114,2021년 12월 24일 00시,서울,2346,164088,2324,22,2204,1615,14071,2021-12-24 09:04:23.499,null
132,596209,2021년 12월 24일 00시,합계,6233,485721,6163,70,1150,5071,14070,2021-12-24 09:04:23.499,null
133,6619,2021년 12월 23일 00시,검역,6,6422,0,6,-,16,14069,2021-12-23 08:53:41.657,null
134,4478,2021년 12월 23일 00시,제주,17,4157,17,0,664,13,14068,2021-12-23 08:53:41.657,null
135,18965,2021년 12월 23일 00시,경남,201,16339,200,1,568,79,14067,2021-12-23 08:53:41.657,null
136,14466,2021년 12월 23일 00시,경북,135,12319,134,1,548,140,14066,2021-12-23 08:53:41.657,null
137,5693,2021년 12월 23일 00시,전남,69,4880,68,1,307,34,14065,2021-12-23 08:53:41.657,null
138,8620,2021년 12월 23일 00시,전북,149,7237,149,0,478,97,14064,2021-12-23 08:53:41.656,null
139,16982,2021년 12월 23일 00시,충남,183,14105,180,3,801,122,14063,2021-12-23 08:53:41.656,null
140,10862,2021년 12월 23일 00시,충북,85,9652,85,0,679,105,14062,2021-12-23 08:53:41.656,null
141,11572,2021년 12월 23일 00시,강원,120,10011,120,0,750,97,14061,2021-12-23 08:53:41.656,null
142,174555,2021년 12월 23일 00시,경기,1949,134647,1929,20,1300,1648,14060,2021-12-23 08:53:41.655,null
143,1987,2021년 12월 23일 00시,세종,19,1713,18,1,558,3,14059,2021-12-23 08:53:41.655,null
144,6504,2021년 12월 23일 00시,울산,44,5929,43,1,573,61,14058,2021-12-23 08:53:41.655,null
145,11622,2021년 12월 23일 00시,대전,133,9123,133,0,794,145,14057,2021-12-23 08:53:41.655,null
146,7430,2021년 12월 23일 00시,광주,66,6837,66,0,512,37,14056,2021-12-23 08:53:41.655,null
147,34147,2021년 12월 23일 00시,인천,422,27037,420,2,1160,230,14055,2021-12-23 08:53:41.654,null
148,22083,2021년 12월 23일 00시,대구,168,20056,167,1,913,349,14054,2021-12-23 08:53:41.654,null
149,22625,2021년 12월 23일 00시,부산,433,17961,432,1,667,241,14053,2021-12-23 08:53:41.654,null
150,210768,2021년 12월 23일 00시,서울,2720,160630,2695,25,2180,1598,14052,2021-12-23 08:53:41.654,null
151,589978,2021년 12월 23일 00시,합계,6919,469055,6856,63,1138,5015,14051,2021-12-23 08:53:41.653,null
152,6613,2021년 12월 22일 00시,검역,5,6416,0,5,-,16,14050,2021-12-22 09:22:43.008,null
153,4461,2021년 12월 22일 00시,제주,37,4116,37,0,661,13,14049,2021-12-22 09:22:43.008,null
154,18764,2021년 12월 22일 00시,경남,252,16339,246,6,562,77,14048,2021-12-22 09:22:43.007,null
155,14331,2021년 12월 22일 00시,경북,139,12225,137,2,543,135,14047,2021-12-22 09:22:43.007,null
156,5624,2021년 12월 22일 00시,전남,47,4751,46,1,304,32,14046,2021-12-22 09:22:43.007,null
157,8475,2021년 12월 22일 00시,전북,135,7151,135,0,470,97,14045,2021-12-22 09:22:43.007,null
158,16801,2021년 12월 22일 00시,충남,165,13955,162,3,792,122,14044,2021-12-22 09:22:43.007,null
159,10777,2021년 12월 22일 00시,충북,123,9586,121,2,673,104,14043,2021-12-22 09:22:43.006,null
160,11452,2021년 12월 22일 00시,강원,130,9815,130,0,742,96,14042,2021-12-22 09:22:43.006,null
161,172606,2021년 12월 22일 00시,경기,2225,134403,2192,33,1286,1609,14041,2021-12-22 09:22:43.006,null
162,1968,2021년 12월 22일 00시,세종,47,1700,45,2,553,3,14040,2021-12-22 09:22:43.006,null
163,6460,2021년 12월 22일 00시,울산,39,5879,39,0,569,60,14039,2021-12-22 09:22:43.006,null
164,11489,2021년 12월 22일 00시,대전,157,8966,156,1,785,129,14038,2021-12-22 09:22:43.005,null
165,7364,2021년 12월 22일 00시,광주,106,6791,103,3,508,36,14037,2021-12-22 09:22:43.005,null
166,33725,2021년 12월 22일 00시,인천,479,26859,475,4,1146,224,14036,2021-12-22 09:22:43.005,null
167,21915,2021년 12월 22일 00시,대구,133,19926,131,2,906,348,14035,2021-12-22 09:22:43.005,null
168,22192,2021년 12월 22일 00시,부산,432,17629,431,1,654,236,14034,2021-12-22 09:22:43.005,null
169,208048,2021년 12월 22일 00시,서울,2805,156894,2779,26,2152,1569,14033,2021-12-22 09:22:43.004,null
170,583065,2021년 12월 22일 00시,합계,7456,463401,7365,91,1125,4906,14032,2021-12-22 09:22:43.004,null
171,6608,2021년 12월 21일 00시,검역,10,6412,0,10,-,16,14031,2021-12-21 09:03:16.287,null
172,4424,2021년 12월 21일 00시,제주,26,4087,25,1,656,13,14030,2021-12-21 09:03:16.287,null
173,18512,2021년 12월 21일 00시,경남,184,16132,184,0,554,76,14029,2021-12-21 09:03:16.286,null
174,14192,2021년 12월 21일 00시,경북,107,12025,101,6,538,133,14028,2021-12-21 09:03:16.286,null
175,5577,2021년 12월 21일 00시,전남,41,4697,40,1,301,32,14027,2021-12-21 09:03:16.286,null
176,8340,2021년 12월 21일 00시,전북,144,6951,144,0,462,95,14026,2021-12-21 09:03:16.285,null
177,16636,2021년 12월 21일 00시,충남,163,13843,163,0,784,122,14025,2021-12-21 09:03:16.285,null
178,10654,2021년 12월 21일 00시,충북,89,9507,87,2,666,102,14024,2021-12-21 09:03:16.285,null
179,11322,2021년 12월 21일 00시,강원,117,9601,116,1,734,95,14023,2021-12-21 09:03:16.285,null
180,170381,2021년 12월 21일 00시,경기,1313,134163,1299,14,1269,1586,14022,2021-12-21 09:03:16.285,null
181,1921,2021년 12월 21일 00시,세종,21,1685,21,0,540,3,14021,2021-12-21 09:03:16.284,null
182,6421,2021년 12월 21일 00시,울산,35,5845,35,0,565,60,14020,2021-12-21 09:03:16.284,null
183,11332,2021년 12월 21일 00시,대전,126,8966,125,1,774,122,14019,2021-12-21 09:03:16.284,null
184,7258,2021년 12월 21일 00시,광주,76,6738,75,1,501,35,14018,2021-12-21 09:03:16.284,null
185,33246,2021년 12월 21일 00시,인천,384,26588,381,3,1130,222,14017,2021-12-21 09:03:16.283,null
186,21782,2021년 12월 21일 00시,대구,138,19773,136,2,901,346,14016,2021-12-21 09:03:16.283,null
187,21760,2021년 12월 21일 00시,부산,234,17339,233,1,642,233,14015,2021-12-21 09:03:16.283,null
188,205249,2021년 12월 21일 00시,서울,1994,155276,1979,15,2123,1537,14014,2021-12-21 09:03:16.283,null
189,575615,2021년 12월 21일 00시,합계,5202,459628,5144,58,1111,4828,14013,2021-12-21 09:03:16.282,null
190,6598,2021년 12월 20일 00시,검역,13,6399,0,13,-,16,14012,2021-12-20 09:05:51.081,null
191,4398,2021년 12월 20일 00시,제주,30,4039,26,4,652,13,14011,2021-12-20 09:05:51.081,null
192,18328,2021년 12월 20일 00시,경남,156,15998,155,1,549,74,14010,2021-12-20 09:05:51.081,null
193,14085,2021년 12월 20일 00시,경북,117,11911,115,2,534,132,14009,2021-12-20 09:05:51.08,null
194,5536,2021년 12월 20일 00시,전남,56,4662,54,2,299,31,14008,2021-12-20 09:05:51.08,null
195,8196,2021년 12월 20일 00시,전북,100,6951,99,1,454,94,14007,2021-12-20 09:05:51.08,null
196,16473,2021년 12월 20일 00시,충남,185,13747,184,1,777,119,14006,2021-12-20 09:05:51.08,null
197,10565,2021년 12월 20일 00시,충북,68,9421,68,0,660,101,14005,2021-12-20 09:05:51.079,null
198,11205,2021년 12월 20일 00시,강원,130,9498,126,4,726,94,14004,2021-12-20 09:05:51.079,null
199,169068,2021년 12월 20일 00시,경기,1488,133909,1475,13,1259,1572,14003,2021-12-20 09:05:51.079,null
200,1900,2021년 12월 20일 00시,세종,16,1678,16,0,534,3,14002,2021-12-20 09:05:51.079,null
201,6386,2021년 12월 20일 00시,울산,36,5806,36,0,562,59,14001,2021-12-20 09:05:51.079,null
202,11206,2021년 12월 20일 00시,대전,112,8931,112,0,765,119,14000,2021-12-20 09:05:51.078,null
203,7182,2021년 12월 20일 00시,광주,52,6650,52,0,495,35,13999,2021-12-20 09:05:51.078,null
204,32862,2021년 12월 20일 00시,인천,375,26331,371,4,1117,218,13998,2021-12-20 09:05:51.078,null
205,21645,2021년 12월 20일 00시,대구,111,19610,110,1,895,346,13997,2021-12-20 09:05:51.078,null
206,21526,2021년 12월 20일 00시,부산,365,17097,364,1,635,229,13996,2021-12-20 09:05:51.078,null
207,203255,2021년 12월 20일 00시,서울,1908,153488,1895,13,2102,1521,13995,2021-12-20 09:05:51.077,null
208,570414,2021년 12월 20일 00시,합계,5318,456126,5258,60,1101,4776,13994,2021-12-20 09:05:51.077,null
209,6586,2021년 12월 19일 00시,검역,6,6399,0,6,-,16,13993,2021-12-19 09:08:01.701,null
210,4368,2021년 12월 19일 00시,제주,22,3996,22,0,647,12,13992,2021-12-19 09:08:01.701,null
211,18172,2021년 12월 19일 00시,경남,215,15856,214,1,544,70,13991,2021-12-19 09:08:01.701,null
212,13968,2021년 12월 19일 00시,경북,137,11719,134,3,529,132,13990,2021-12-19 09:08:01.701,null
213,5480,2021년 12월 19일 00시,전남,43,4608,43,0,296,30,13989,2021-12-19 09:08:01.701,null
214,8097,2021년 12월 19일 00시,전북,92,6883,92,0,449,93,13988,2021-12-19 09:08:01.7,null
215,16288,2021년 12월 19일 00시,충남,207,13640,206,1,768,118,13987,2021-12-19 09:08:01.7,null
216,10497,2021년 12월 19일 00시,충북,92,9339,91,1,656,101,13986,2021-12-19 09:08:01.699,null
217,11075,2021년 12월 19일 00시,강원,100,9381,100,0,718,93,13985,2021-12-19 09:08:01.699,null
218,167580,2021년 12월 19일 00시,경기,1753,133716,1723,30,1248,1555,13984,2021-12-19 09:08:01.698,null
219,1884,2021년 12월 19일 00시,세종,23,1669,23,0,529,3,13983,2021-12-19 09:08:01.698,null
220,6350,2021년 12월 19일 00시,울산,39,5777,37,2,559,59,13982,2021-12-19 09:08:01.698,null
221,11094,2021년 12월 19일 00시,대전,149,8907,147,2,758,118,13981,2021-12-19 09:08:01.698,null
222,7130,2021년 12월 19일 00시,광주,29,6650,27,2,492,34,13980,2021-12-19 09:08:01.697,null
223,32487,2021년 12월 19일 00시,인천,493,26068,492,1,1104,213,13979,2021-12-19 09:08:01.697,null
224,21534,2021년 12월 19일 00시,대구,153,19505,152,1,890,344,13978,2021-12-19 09:08:01.697,null
225,21161,2021년 12월 19일 00시,부산,363,16918,362,1,624,228,13977,2021-12-19 09:08:01.696,null
226,201347,2021년 12월 19일 00시,서울,2320,152995,2308,12,2083,1503,13976,2021-12-19 09:08:01.696,null
227,565098,2021년 12월 19일 00시,합계,6236,454026,6173,63,1090,4722,13975,2021-12-19 09:08:01.695,null
228,6580,2021년 12월 18일 00시,검역,9,6399,0,9,-,16,13974,2021-12-18 09:15:52.19,null
229,4346,2021년 12월 18일 00시,제주,30,3949,30,0,644,11,13973,2021-12-18 09:15:52.19,null
230,17957,2021년 12월 18일 00시,경남,211,15674,210,1,538,67,13972,2021-12-18 09:15:52.19,null
231,13832,2021년 12월 18일 00시,경북,139,11626,139,0,524,131,13971,2021-12-18 09:15:52.19,null
232,5437,2021년 12월 18일 00시,전남,44,4578,44,0,294,30,13970,2021-12-18 09:15:52.19,null
233,8005,2021년 12월 18일 00시,전북,110,6756,110,0,444,92,13969,2021-12-18 09:15:52.189,null
234,16081,2021년 12월 18일 00시,충남,240,13568,238,2,758,115,13968,2021-12-18 09:15:52.189,null
235,10405,2021년 12월 18일 00시,충북,127,9249,127,0,650,101,13967,2021-12-18 09:15:52.189,null
236,10975,2021년 12월 18일 00시,강원,126,9253,126,0,711,91,13966,2021-12-18 09:15:52.189,null
237,165827,2021년 12월 18일 00시,경기,2041,133462,2033,8,1235,1530,13965,2021-12-18 09:15:52.188,null
238,1861,2021년 12월 18일 00시,세종,43,1653,43,0,523,3,13964,2021-12-18 09:15:52.188,null
239,6311,2021년 12월 18일 00시,울산,46,5741,46,0,556,59,13963,2021-12-18 09:15:52.188,null
240,10945,2021년 12월 18일 00시,대전,120,8866,120,0,748,110,13962,2021-12-18 09:15:52.188,null
241,7101,2021년 12월 18일 00시,광주,57,6600,55,2,490,33,13961,2021-12-18 09:15:52.187,null
242,31994,2021년 12월 18일 00시,인천,600,25990,599,1,1087,210,13960,2021-12-18 09:15:52.187,null
243,21381,2021년 12월 18일 00시,대구,215,19324,214,1,884,341,13959,2021-12-18 09:15:52.187,null
244,20798,2021년 12월 18일 00시,부산,362,16669,362,0,613,225,13958,2021-12-18 09:15:52.187,null
245,199028,2021년 12월 18일 00시,서울,2794,151980,2788,6,2059,1479,13957,2021-12-18 09:15:52.186,null
246,558864,2021년 12월 18일 00시,합계,7314,451337,7284,30,1078,4644,13956,2021-12-18 09:15:52.186,null
247,6571,2021년 12월 17일 00시,검역,8,6396,0,8,-,16,13955,2021-12-17 09:09:46.324,null
248,4316,2021년 12월 17일 00시,제주,35,3902,35,0,640,11,13954,2021-12-17 09:09:46.324,null
249,17746,2021년 12월 17일 00시,경남,171,15674,171,0,531,67,13953,2021-12-17 09:09:46.324,null
250,13693,2021년 12월 17일 00시,경북,169,11553,168,1,519,131,13952,2021-12-17 09:09:46.324,null
251,5393,2021년 12월 17일 00시,전남,60,4543,58,2,291,30,13951,2021-12-17 09:09:46.323,null
252,7895,2021년 12월 17일 00시,전북,122,6661,122,0,438,91,13950,2021-12-17 09:09:46.323,null
253,15841,2021년 12월 17일 00시,충남,203,13405,203,0,747,112,13949,2021-12-17 09:09:46.323,null
