iter	RMSE
0	773.0885489
1	769.3919616
2	765.139136
3	761.4053789
4	757.3142546
5	752.5443612
6	748.813825
7	745.0692144
8	741.2193832
9	737.9875985
10	734.2779817
11	730.6331538
12	726.9710184
13	723.5409452
14	720.2467475
15	716.8357117
16	713.7053319
17	710.3837061
18	707.4844528
19	703.5688217
20	699.6873551
21	696.6009254
22	693.0318265
23	689.6272832
24	686.1102272
25	683.2679748
26	680.3425135
27	677.1737763
28	673.5809618
29	670.1875775
30	666.9053362
31	663.789514
32	660.9102595
33	658.1156629
34	654.889904
35	651.9639255
36	648.7091836
37	645.2640366
38	641.9892143
39	638.78034
40	635.160964
41	632.2525157
42	629.3359399
43	626.76708
44	623.8551573
45	620.8122251
46	617.6178837
47	614.5905529
48	611.6586958
49	608.993854
50	605.9484959
51	603.256004
52	600.514251
53	597.6523965
54	594.8212054
55	591.9428977
56	589.548524
57	586.5116605
58	583.3158942
59	580.7783487
60	578.1216464
61	575.6986099
62	573.5082108
63	570.7011691
64	568.395392
65	566.227638
66	563.4387241
67	560.5775123
68	557.8539384
69	555.4451657
70	553.391518
71	550.9294179
72	548.487247
73	546.1935386
74	543.9165507
75	541.7566691
76	539.3752228
77	537.1780608
78	534.978727
79	532.6903034
80	530.2367269
81	527.8495573
82	525.9148655
83	523.6069413
84	521.4006572
85	519.4179879
86	517.3234066
87	515.5368655
88	513.2856119
89	511.3130664
90	508.8348581
91	506.9918371
92	505.2780815
93	503.275372
94	501.1261108
95	499.3769374
96	497.4924668
97	496.0515023
98	494.3702813
99	492.0556877
100	490.0028991
101	487.8909363
102	486.0415542
103	483.9936053
104	481.9160212
105	480.059963
106	477.7379715
107	475.8069474
108	473.7920888
109	471.8060833
110	470.1752255
111	468.8676056
112	467.0102521
113	464.9430362
114	463.1643674
115	461.5577354
116	460.0400644
117	458.3730716
118	456.5929018
119	454.691264
120	453.2818284
121	451.4007372
122	450.0060458
123	448.5602262
124	446.8631931
125	445.319721
126	443.7339214
127	442.2225764
128	440.3412293
129	438.6451246
130	437.2556516
131	435.6721402
132	433.9254558
133	432.387648
134	430.835
